,0,1,2,3,4,5
77,中華民國,THUNDERBOLTFANTASY生死一劍,2017-12-08,1,"22,937","5,584,073"
78,中華民國,Thunderbolt Fantasy 西幽玹歌,2019-10-25,1,19736,4640014
79,南韓,V・I・P・,2017-09-28,1,"5,692","1,254,773"
80,英國,WESTWOOD：龐克時尚教母,2018-12-14,2,474,"102,325"
81,美國,X戰警：黑鳳凰,2019-06-06,2,450417,105423917
82,日本,《少女與戰車最終章》第１話,2017-12-29,3,"6,962","1,722,726"
83,英國,《悲慘世界》25周年紀念演唱會,2019-12-01,6,487,357920
84,中華民國,《畢業旅行笑翻天》,2018-02-02,1,"1,722","386,725"
85,中華民國,一一,2017-07-28,1,"21,730","4,993,677"
86,英國,一九八四,2018-06-04,1,220,"37,640"
87,美國,一個巨星的誕生,2018-10-09,1,"703,661","164,429,267"
88,英國,一個美國人在巴黎,2018-12-04,1,484,"227,925"
89,中華民國,一吻定情,2019-02-14,1,108717,24703070
90,日本,一定要結婚嗎,2019-08-09,5,"1,380","305,206"
91,日本,一屍到底,2018-09-21,1,"234,998","53,368,225"
92,日本,一屍到底番外篇：好萊塢大作戰！,2019-12-06,2,561,129503
93,中華民國,一念,2019-04-12,1,2121,453067
94,泰國,一池到底,2019-01-25,1,195,"41,165"
95,美國,一級玩家,2018-03-29,7,"1,416,308","362,043,453"
96,法國,一袋彈珠,2018-07-20,1,"3,761","773,155"
97,英國,一週斃命：不死退費,2018-10-12,1,"5,661","1,212,075"
98,日本,七個會議,2019-10-18,6,5041,1109342
99,日本,七夜怪談,1998-01-01,2,38,"8,155"
100,日本,七夜怪談0：貞相大白,2000-01-01,1,16,"3,400"
101,日本,七夜怪談2︰貞子謎咒,1999-01-01,1,12,"2,565"
102,日本,七夜怪談：復活之路,1998-01-01,1,7,"1,490"
103,南韓,七年之夜,2018-04-27,3,685,"149,112"
104,中國大陸,七月與安生,2018-03-23,1,24264,5619501
105,南韓,七罪追緝令,2018-11-09,1,"5,198","1,168,055"
106,日本,七龍珠‧超布羅利,2019-02-22,14,"86,540","26,065,000"
107,中華民國,丈夫的秘密,2019-01-26,1,1,150
108,美國,三分男孩,2014-04-11,1,8,"1,130"
109,香港,三夫,2019-04-26,1,2827,614819
110,法國,三小一家人,2019-03-08,2,"1,889","404,029"
111,美國,三島由紀夫：人間四幕,2018-06-06,1,155,"26,720"
112,日本,三更半夜居然要吃香蕉？,2019-04-26,2,"1,670","366,128"
113,中國大陸,三生三世十里桃花,2018-08-10,1,529,"119,520"
114,日本,三角草的春天,2019-01-25,4,218,"48,685"
115,中華民國,上岸的魚,2018-03-16,1,"3,627","770,902"
116,義大利,上流世界,2019-04-19,1,3200,699077
117,法國,上流教慾,2019-07-12,7,368,81155
118,日本,下一站，天國,2016-12-15,1,"1,346","278,585"
119,中華民國,下半場,2019-08-23,1,102282,22968141
120,智利,下坡戮,2018-05-04,1,79,"16,845"
121,中華民國,下錨+失業陣線聯盟,2018-06-22,1,36,"5,400"
122,美國,不可能的任務：全面瓦解,2018-07-25,2,"1,897,530","447,486,435"
123,挪威,不可能的逃亡,2018-11-30,1,"3,705","815,639"
124,法國,不思議女人,2017-11-24,1,"1,592","337,866"
125,中華民國,不滅之光,2019-05-24,1,907,201325
126,日本,不管媽媽多麼討厭我,2019-03-15,1,1754,384771
127,日本,世界最長的照片,2018-11-30,1,"2,941","622,334"
128,英國,世紀球王 馬拉度納,2019-12-20,6,222,45355
129,南韓,中國城,2018-09-28,3,511,"104,550"
130,丹麥,丹麥共居生活,2016-08-12,1,"1,507","292,415"
131,日本,乒乓少女大逆襲,2017-11-10,1,"27,056","6,175,002"
132,日本,乘浪之約,2019-08-09,1,13224,3068727
133,香港,九龍不敗,2019-06-25,1,7607,1509112
134,中華民國,乳‧房,2019-03-08,1,"5,661","1,254,938"
135,日本,乾杯！戀上日本酒的女子,2019-08-16,1,"1,038","221,502"
136,日本,亂,2017-09-29,1,942,"213,395"
137,美國,亂世佳人,1939-01-01,1,9538,2326678
138,英國,亂世傷痕~末代總督的秘密,2017-12-01,1,"2,492","517,558"
139,中華民國,五月天 人生無限公司,2019-05-24,5,"159,801","54,167,349"
140,中華民國,五月天人生無限公司,2019-05-24,14,157729,53444154
141,中華民國,亡命之途,2019-06-06,2,7657,1612662
142,泰國,交友網戰,2018-11-16,1,"3,921","813,618"
143,法國,亨利先生的秘密,2019-05-24,2,3130,635167
144,英國,享受吧！尋味義大利,2018-02-09,3,"2,369","475,709"
145,法國,享宴Hold不住,2018-05-18,1,"6,327","1,329,846"
146,英國,人生剩利組,2017-10-20,1,"33,997","7,252,404"
147,法國,人生最後一場拍賣會,2019-05-24,1,3447,698709
148,美國,人生消極掰,2019-07-26,3,"32,112","7,419,953"
149,義大利,人生無限露營車,2018-04-20,1,"6,199","1,298,707"
150,印度,人生起跑線,2018-03-16,2,"31,289","6,569,169"
151,法國,人盡皆知,2019-04-12,1,"2,044","414,749"
152,美國,人肉搜索,2018-09-28,2,"64,656","14,130,453"
153,美國,人肉農場,2019-05-10,1,999,221344
154,日本,人間失格：太宰治與他的3個女人,2019-12-06,3,9291,2141608
155,中華民國,人面魚紅衣小女孩外傳,2018-11-23,2,"328,367","73,072,985"
156,日本,人魚沉睡的家,2018-12-21,1,"4,371","958,995"
157,美國,今夜血肉燦爛,2018-04-27,2,60,"12,505"
158,日本,今夜，在浪漫劇場與妳相遇,2018-05-11,1,"17,400","3,940,066"
159,法國,今夜，我們無罪,2019-10-18,1,594,128314
